source_id,type
1837151782465574400,rrlyrae
1933774424769244672,rrlyrae
1934205880002515456,rrlyrae
1934591533705740928,rrlyrae
1934784777174637056,rrlyrae
1935230693559394816,rrlyrae
1936256744066915200,rrlyrae
1936295506152127232,rrlyrae
1956524733393497344,rrlyrae
1956585034738005248,rrlyrae
1956630389590879104,rrlyrae
1957209656124676096,rrlyrae
1957257862833263488,rrlyrae
1957521539465535232,rrlyrae
1957987393097790208,rrlyrae
1958021374878340992,rrlyrae
1995051758280786048,rrlyrae
1995068354029761920,rrlyrae
1995102713760023296,rrlyrae
1995207300509023488,rrlyrae
1995571071357942784,rrlyrae
1995646319180545024,rrlyrae
1995728881337397376,rrlyrae
1995992832849521024,rrlyrae
1996221191971204480,rrlyrae
1997597608726636544,rrlyrae
1997707662973227776,rrlyrae
1997804037735078272,rrlyrae
1997879839613296256,rrlyrae
1998024150524148224,rrlyrae
1998212785484695808,rrlyrae
1998328199849553152,rrlyrae
1998639288619496832,rrlyrae
2012395244231828992,rrlyrae
2012449090242714368,rrlyrae
2012649270076498048,rrlyrae
2012655038215645440,rrlyrae
2012728160032209536,rrlyrae
2012758426667132544,rrlyrae
2012787117049714176,rrlyrae
2012822374443720960,rrlyrae
2012936070818496256,rrlyrae
2012965031772345216,rrlyrae
2012987232459509504,rrlyrae
2013067183276051200,rrlyrae
2013085909335443712,rrlyrae
2013261938566531968,rrlyrae
2027604277493630720,rrlyrae
2027800402871681280,rrlyrae
2051411895383874944,rrlyrae
2051412685654201728,rrlyrae
2051463026969900416,rrlyrae
2051560569977525248,rrlyrae
2051756764073824512,rrlyrae
2051956329728293760,rrlyrae
2052107924893904384,rrlyrae
2052202585987707136,rrlyrae
2053380055552029568,rrlyrae
2053544883521990912,rrlyrae
2053594116724865792,rrlyrae
2053640918990938496,rrlyrae
2053641739323807872,rrlyrae
2053698776501394688,rrlyrae
2053705343498795776,rrlyrae
2053756436437764480,rrlyrae
2053765438689013248,rrlyrae
2053813542307929344,rrlyrae
2053834020713857920,rrlyrae
2053846115341946624,rrlyrae
2053866452008020480,rrlyrae
2053936889483149824,rrlyrae
2054001558797686400,rrlyrae
2054005956843573504,rrlyrae
2054039350212493568,rrlyrae
2054059862975983104,rrlyrae
2054156108908972928,rrlyrae
2054173632374425472,rrlyrae
2054199500952967808,rrlyrae
2054202494549818496,rrlyrae
2168695842942241536,rrlyrae
2168739372434827648,rrlyrae
2168857642950334080,rrlyrae
2169002671106381440,rrlyrae
2169077644056224128,rrlyrae
2169180929428071680,rrlyrae
2169309503571339776,rrlyrae
2169365720396472576,rrlyrae
2169434847895879808,rrlyrae
2169458934072763264,rrlyrae
2169502433498969728,rrlyrae
2169665058141906816,rrlyrae
2169688839375044224,rrlyrae
2169727287926729984,rrlyrae
2169753916726844672,rrlyrae
2169830813813728000,rrlyrae
2169977289383376256,rrlyrae
2169991823551721216,rrlyrae
2173397457747406848,rrlyrae
2195648132814029312,rrlyrae
2195750146876812032,rrlyrae
2195937888486787840,rrlyrae
2195958504330260224,rrlyrae
2195979635570512640,rrlyrae
2196012968813801984,rrlyrae
2196083371913814144,rrlyrae
2196103884681824384,rrlyrae
2196153362703166080,rrlyrae
2196466032024944128,rrlyrae
2196515681846404480,rrlyrae
2196636937365463936,rrlyrae
2196995416809510272,rrlyrae
2197240122570894720,rrlyrae
2202677589835095168,rrlyrae
2202781424959468416,rrlyrae
2202935833326681728,rrlyrae
2202988163206732928,rrlyrae
2203040188147606528,rrlyrae
2203059184787247744,rrlyrae
2203088119993344384,rrlyrae
2203092311874015104,rrlyrae
2203105609082276480,rrlyrae
2203122033038742272,rrlyrae
2203134883581840384,rrlyrae
2203163127298114048,rrlyrae
2203457830771073536,rrlyrae
2227770571179089280,rrlyrae
2227884855964941184,rrlyrae
2227904269215417344,rrlyrae
2227913267171427456,rrlyrae
2228115439872884480,rrlyrae
2228708012216583808,rrlyrae
2228907741078138368,rrlyrae
2229071881845397376,rrlyrae
2240655511719837824,rrlyrae
2241578375637644928,rrlyrae
2242125730564543232,rrlyrae
2248538391618742784,rrlyrae
2249842064512744448,rrlyrae
2249968409567920256,rrlyrae
2250747276117285760,rrlyrae
2251979381973327616,rrlyrae
2252050880293836288,rrlyrae
2252452751794689152,rrlyrae
2253569035271316480,rrlyrae
2253586382642601216,rrlyrae
245504251951140864,rrlyrae
245823861938360064,rrlyrae
246570709506590848,rrlyrae
3001578340519333760,rrlyrae
3001876548687142912,rrlyrae
3002315077735076224,rrlyrae
3003370578831197440,rrlyrae
3003378928247423744,rrlyrae
3003492074867443072,rrlyrae
